temperatura_sensor,humedad_ambiente,tiempo_desde_calibracion,nivel_gas_metano,fecha,hora,nivel_bateria,ciclo_bateria,gas_crudo,nivel_co,nivel_lpg,id,timestamp
23.99,59.5,0.0,2023.0,2025-04-04,09:09:35,99.73,1,4046,1213.8,809.2,259,2025-04-04 09:09:35
24.08,59.3,0.0,2021.0,2025-04-04,09:09:47,99.69,1,4042,1212.6,808.4,260,2025-04-04 09:09:47
24.21,58.95,0.01,2024.0,2025-04-04,09:09:59,99.64,1,4048,1214.4,809.6,261,2025-04-04 09:09:59
24.33,58.72,0.01,2020.5,2025-04-04,09:10:11,99.59,1,4041,1212.3,808.2,262,2025-04-04 09:10:11
24.46,58.45,0.01,2026.5,2025-04-04,09:10:23,99.54,1,4053,1215.9,810.6,263,2025-04-04 09:10:23
24.54,58.22,0.02,2013.5,2025-04-04,09:10:35,99.5,1,4027,1208.1,805.4,264,2025-04-04 09:10:35
24.71,58.2,0.02,2016.5,2025-04-04,09:10:48,99.44,1,4033,1209.9,806.6,265,2025-04-04 09:10:48
24.81,57.97,0.02,2015.5,2025-04-04,09:11:00,99.39,1,4031,1209.3,806.2,266,2025-04-04 09:11:00
24.92,57.74,0.03,2007.5,2025-04-04,09:11:12,99.35,1,4015,1204.5,803.0,267,2025-04-04 09:11:12
25.02,57.54,0.03,2010.5,2025-04-04,09:11:24,99.3,1,4021,1206.3,804.2,268,2025-04-04 09:11:24
25.15,57.28,0.03,2016.0,2025-04-04,09:11:36,99.25,1,4032,1209.6,806.4,269,2025-04-04 09:11:36
25.27,57.09,0.04,2008.0,2025-04-04,09:11:48,99.21,1,4016,1204.8,803.2,270,2025-04-04 09:11:48
25.35,56.84,0.04,2011.0,2025-04-04,09:11:59,99.16,1,4022,1206.6,804.4,271,2025-04-04 09:11:59
25.45,56.5,0.04,2003.0,2025-04-04,09:12:11,99.11,1,4006,1201.8,801.2,272,2025-04-04 09:12:11
25.54,56.33,0.05,2014.5,2025-04-04,09:12:23,99.07,1,4029,1208.7,805.8,273,2025-04-04 09:12:23
25.65,56.1,0.05,2008.0,2025-04-04,09:12:35,99.02,1,4016,1204.8,803.2,274,2025-04-04 09:12:35
25.74,55.98,0.05,2009.5,2025-04-04,09:12:46,98.97,1,4019,1205.7,803.8,275,2025-04-04 09:12:46
25.82,55.9,0.06,2010.0,2025-04-04,09:12:58,98.93,1,4020,1206.0,804.0,276,2025-04-04 09:12:58
26.02,55.97,0.06,2008.5,2025-04-04,09:13:10,98.88,1,4017,1205.1,803.4,277,2025-04-04 09:13:10
26.36,55.94,0.06,2008.0,2025-04-04,09:13:22,98.83,1,4016,1204.8,803.2,278,2025-04-04 09:13:22
26.55,55.89,0.07,2004.5,2025-04-04,09:13:34,98.78,1,4009,1202.7,801.8,279,2025-04-04 09:13:34
26.43,55.31,0.07,2008.0,2025-04-04,09:13:46,98.74,1,4016,1204.8,803.2,280,2025-04-04 09:13:46
26.46,55.21,0.07,2002.5,2025-04-04,09:13:58,98.69,1,4005,1201.5,801.0,281,2025-04-04 09:13:58
26.51,54.97,0.08,2007.0,2025-04-04,09:14:10,98.64,1,4014,1204.2,802.8,282,2025-04-04 09:14:10
26.57,54.77,0.08,2004.5,2025-04-04,09:14:22,98.59,1,4009,1202.7,801.8,283,2025-04-04 09:14:22
26.62,54.39,0.08,1992.5,2025-04-04,09:14:34,98.54,1,3985,1195.5,797.0,284,2025-04-04 09:14:34
26.66,54.28,0.09,2011.5,2025-04-04,09:14:46,98.5,1,4023,1206.9,804.6,285,2025-04-04 09:14:46
26.67,54.27,0.09,2005.5,2025-04-04,09:14:58,98.45,1,4011,1203.3,802.2,286,2025-04-04 09:14:58
26.69,54.07,0.09,2001.5,2025-04-04,09:15:10,98.4,1,4003,1200.9,800.6,287,2025-04-04 09:15:10
26.75,54.04,0.1,1960.5,2025-04-04,09:15:22,98.35,1,3921,1176.3,784.2,288,2025-04-04 09:15:22
26.78,54.15,0.1,1995.0,2025-04-04,09:15:34,98.31,1,3990,1197.0,798.0,289,2025-04-04 09:15:34
26.78,54.08,0.1,1992.5,2025-04-04,09:15:46,98.26,1,3985,1195.5,797.0,290,2025-04-04 09:15:46
26.8,54.09,0.11,1993.5,2025-04-04,09:15:57,98.21,1,3987,1196.1,797.4,291,2025-04-04 09:15:57
27.03,54.67,0.11,2008.0,2025-04-04,09:16:09,98.17,1,4016,1204.8,803.2,292,2025-04-04 09:16:09
27.34,55.65,0.11,2015.5,2025-04-04,09:16:21,98.12,1,4031,1209.3,806.2,293,2025-04-04 09:16:21
27.47,54.82,0.12,2016.0,2025-04-04,09:16:33,98.07,1,4032,1209.6,806.4,294,2025-04-04 09:16:33
27.55,54.16,0.12,2016.0,2025-04-04,09:16:45,98.03,1,4032,1209.6,806.4,295,2025-04-04 09:16:45
27.61,53.66,0.12,2014.5,2025-04-04,09:16:56,97.98,1,4029,1208.7,805.8,296,2025-04-04 09:16:56
27.65,53.28,0.13,2016.0,2025-04-04,09:17:08,97.93,1,4032,1209.6,806.4,297,2025-04-04 09:17:08
27.69,53.09,0.13,2015.5,2025-04-04,09:17:20,97.88,1,4031,1209.3,806.2,298,2025-04-04 09:17:20
27.71,52.94,0.13,2011.0,2025-04-04,09:17:32,97.84,1,4022,1206.6,804.4,299,2025-04-04 09:17:32
27.76,52.7,0.14,2008.5,2025-04-04,09:17:44,97.79,1,4017,1205.1,803.4,300,2025-04-04 09:17:44
27.76,52.51,0.14,2016.5,2025-04-04,09:17:56,97.74,1,4033,1209.9,806.6,301,2025-04-04 09:17:56
27.78,52.34,0.14,2017.5,2025-04-04,09:18:07,97.7,1,4035,1210.5,807.0,302,2025-04-04 09:18:07
27.78,52.25,0.15,2014.5,2025-04-04,09:18:19,97.65,1,4029,1208.7,805.8,303,2025-04-04 09:18:19
27.81,52.24,0.15,2013.0,2025-04-04,09:18:31,97.6,1,4026,1207.8,805.2,304,2025-04-04 09:18:31
27.84,52.09,0.15,2015.5,2025-04-04,09:18:43,97.56,1,4031,1209.3,806.2,305,2025-04-04 09:18:43
27.87,52.01,0.16,2016.0,2025-04-04,09:18:54,97.51,1,4032,1209.6,806.4,306,2025-04-04 09:18:54
