temperatura_sensor,humedad_ambiente,tiempo_desde_calibracion,nivel_gas_metano,fecha,hora,nivel_bateria,ciclo_bateria,ID
25.77,54.35,0,2047.5,4/28/2025,12:16:10,100,1,26041
25.41,55.37,0,2047.5,4/28/2025,12:16:23,99.91,1,26042
25.12,55.86,0.01,2047.5,4/28/2025,12:16:35,99.82,1,26043
24.72,57.2,0.01,2047.5,4/28/2025,12:16:52,99.7,1,26044
24.48,57.89,0.02,2047.5,4/28/2025,12:17:06,99.6,1,26045
24.14,58.19,0.02,2047.5,4/28/2025,12:17:25,99.47,1,26046
23.97,58.92,0.02,2047.5,4/28/2025,12:17:40,99.36,1,26047
23.87,59.14,0.03,2047.5,4/28/2025,12:17:51,99.28,1,26048
23.81,59.44,0.03,2047.5,4/28/2025,12:18:03,99.2,1,26049
23.73,59.71,0.03,2047.5,4/28/2025,12:18:15,99.11,1,26050
23.69,59.9,0.04,2047.5,4/28/2025,12:18:27,99.02,1,26051
23.68,60.16,0.04,2040,4/28/2025,12:18:39,98.94,1,26052
23.66,60.25,0.04,2047.5,4/28/2025,12:18:51,98.85,1,26053
23.68,59.88,0.05,2047.5,4/28/2025,12:19:13,98.7,1,26054
23.7,59.91,0.05,2047.5,4/28/2025,12:19:25,98.61,1,26055
23.69,61.19,0.06,2047.5,4/28/2025,12:19:39,98.51,1,26056
24.29,60.78,0.1,2047.5,4/28/2025,12:22:01,97.5,1,26057
24.33,63.14,0.1,2047.5,4/28/2025,12:22:14,97.41,1,26058
24.35,65.49,0.1,2047.5,4/28/2025,12:22:27,97.31,1,26059
24.4,61.05,0.11,2047.5,4/28/2025,12:22:50,97.15,1,26060
24.72,58.04,0.14,2047.5,4/28/2025,12:24:35,96.4,1,26061
24.78,57.15,0.15,2047.5,4/28/2025,12:25:08,96.17,1,26062
24.85,56.72,0.15,2047.5,4/28/2025,12:25:27,96.03,1,26063
24.85,56.84,0.16,2047.5,4/28/2025,12:25:40,95.94,1,26064
24.95,56.26,0.18,2047.5,4/28/2025,12:27:07,95.32,1,26065
25.1,56.3,0.2,2047.5,4/28/2025,12:28:04,94.91,1,26066
25.13,56.16,0.2,2047.5,4/28/2025,12:28:19,94.81,1,26067
25.15,55.12,0.21,2047.5,4/28/2025,12:28:41,94.65,1,26068
25.2,55.94,0.21,2047.5,4/28/2025,12:28:54,94.56,1,26069
25.22,55.76,0.22,2047.5,4/28/2025,12:29:12,94.43,1,26070
25.36,55.55,0.24,2047.5,4/28/2025,12:30:48,93.75,1,26071
25.38,55.18,0.25,2047.5,4/28/2025,12:31:00,93.66,1,26072
25.53,55.1,0.29,2047.5,4/28/2025,12:33:29,92.6,1,26073
25.55,54.78,0.3,2047.5,4/28/2025,12:34:09,92.31,1,26074
25.56,54.65,0.3,2047.5,4/28/2025,12:34:26,92.19,1,26075
25.56,54.54,0.31,2047.5,4/28/2025,12:34:38,92.11,1,26076
25.54,54.64,0.31,2047.5,4/28/2025,12:34:52,92.01,1,26077
25.57,54.3,0.34,2047.5,4/28/2025,12:36:21,91.37,1,26078
25.62,54.05,0.4,2047.5,4/28/2025,12:39:59,89.82,1,26079
25.62,53.12,0.44,2047.5,4/28/2025,12:42:49,88.61,1,26080
25.75,53.26,0.53,2047.5,4/28/2025,12:47:58,86.41,1,26081
25.77,53.07,0.54,2047.5,4/28/2025,12:48:16,86.28,1,26082
25.76,53.22,0.54,2047.5,4/28/2025,12:48:27,86.2,1,26083
25.78,53.3,0.54,2047.5,4/28/2025,12:48:39,86.12,1,26084
25.77,53.19,0.54,2047.5,4/28/2025,12:48:51,86.03,1,26085
25.78,53.29,0.55,2047.5,4/28/2025,12:49:03,85.95,1,26086
25.78,53.24,0.55,2047.5,4/28/2025,12:49:18,85.84,1,26087
25.79,53.23,0.56,2047.5,4/28/2025,12:49:30,85.75,1,26088
25.79,53.37,0.56,2047.5,4/28/2025,12:49:42,85.67,1,26089
25.8,53.33,0.56,2047.5,4/28/2025,12:49:53,85.59,1,26090
25.81,53.41,0.57,2047.5,4/28/2025,12:50:05,85.51,1,26091
25.83,52.97,0.57,2047.5,4/28/2025,12:50:16,85.43,1,26092
25.81,53.27,0.57,2047.5,4/28/2025,12:50:28,85.34,1,26093
25.81,53.2,0.57,2047.5,4/28/2025,12:50:40,85.26,1,26094
25.8,53.29,0.58,2047.5,4/28/2025,12:50:52,85.17,1,26095
25.81,53.25,0.58,2047.5,4/28/2025,12:51:04,85.09,1,26096
25.8,53.36,0.58,2047.5,4/28/2025,12:51:16,85,1,26097
25.82,53.15,0.59,2047.5,4/28/2025,12:51:27,84.92,1,26098
25.81,53.18,0.59,2047.5,4/28/2025,12:51:39,84.84,1,26099
25.82,53.31,0.59,2047.5,4/28/2025,12:51:51,84.75,1,26100
25.82,53.21,0.6,2047.5,4/28/2025,12:52:02,84.67,1,26101
25.82,53.37,0.6,2047.5,4/28/2025,12:52:14,84.59,1,26102
25.81,52.62,0.6,2047.5,4/28/2025,12:52:26,84.5,1,26103
25.82,52.32,0.61,2047.5,4/28/2025,12:52:40,84.4,1,26104
25.81,52.97,0.61,2047.5,4/28/2025,12:52:51,84.32,1,26105
25.81,52.38,0.61,2047.5,4/28/2025,12:53:03,84.24,1,26106
25.83,51.83,0.62,2047.5,4/28/2025,12:53:19,84.12,1,26107
25.79,52.61,0.62,2047.5,4/28/2025,12:53:31,84.04,1,26108
25.8,52.76,0.63,2047.5,4/28/2025,12:53:43,83.95,1,26109
25.8,52.88,0.63,2047.5,4/28/2025,12:53:54,83.87,1,26110
25.75,52.34,0.63,2047.5,4/28/2025,12:54:06,83.79,1,26111
25.69,52.14,0.64,2047.5,4/28/2025,12:54:18,83.7,1,26112
25.65,52.73,0.64,2047.5,4/28/2025,12:54:30,83.62,1,26113
25.63,52.75,0.64,2047.5,4/28/2025,12:54:41,83.54,1,26114
25.65,52.97,0.65,2047.5,4/28/2025,12:54:53,83.45,1,26115
25.66,53.1,0.65,2047.5,4/28/2025,12:55:05,83.37,1,26116
25.66,53.04,0.65,2047.5,4/28/2025,12:55:16,83.29,1,26117
25.68,53.02,0.66,2047.5,4/28/2025,12:55:28,83.21,1,26118
25.68,53.15,0.66,2047.5,4/28/2025,12:55:40,83.12,1,26119
25.7,53.04,0.66,2047.5,4/28/2025,12:55:51,83.04,1,26120
25.72,52.89,0.66,2047.5,4/28/2025,12:56:03,82.96,1,26121
25.74,53.17,0.67,2047.5,4/28/2025,12:56:15,82.87,1,26122
25.76,53.05,0.67,2047.5,4/28/2025,12:56:26,82.79,1,26123
25.75,52.88,0.68,2047.5,4/28/2025,12:56:41,82.69,1,26124
25.77,53.1,0.68,2047.5,4/28/2025,12:56:56,82.58,1,26125
25.77,53.16,0.68,2047.5,4/28/2025,12:57:08,82.49,1,26126
25.78,53.21,0.69,2047.5,4/28/2025,12:57:20,82.41,1,26127
25.8,53.14,0.69,2047.5,4/28/2025,12:57:32,82.32,1,26128
25.81,53.22,0.69,2047.5,4/28/2025,12:57:43,82.24,1,26129
25.8,53.14,0.7,2047.5,4/28/2025,12:57:55,82.16,1,26130
25.81,53.16,0.7,2047.5,4/28/2025,12:58:07,82.07,1,26131
25.81,53.14,0.7,2047.5,4/28/2025,12:58:19,81.99,1,26132
25.81,53.07,0.71,2047.5,4/28/2025,12:58:30,81.91,1,26133
