temperatura_sensor,humedad_ambiente,tiempo_desde_calibracion,nivel_gas_metano,fecha,hora,nivel_bateria,ciclo_bateria,ID,horas_operacion,ciclo_operacion,fecha_ultima_calibracion,hora_ultima_calibracion
23.99,59.5,0,2023,4/4/2025,9:09:35,99.73,1,259,0,1,4/4/2025,9:09:35
24.08,59.3,0,2021,4/4/2025,9:09:47,99.69,1,260,0,1,4/4/2025,9:09:35
24.21,58.95,0.01,2024,4/4/2025,9:09:59,99.64,1,261,0.01,1,4/4/2025,9:09:35
24.33,58.72,0.01,2020.5,4/4/2025,9:10:11,99.59,1,262,0.01,1,4/4/2025,9:09:35
24.46,58.45,0.01,2026.5,4/4/2025,9:10:23,99.54,1,263,0.01,1,4/4/2025,9:09:35
24.54,58.22,0.02,2013.5,4/4/2025,9:10:35,99.5,1,264,0.02,1,4/4/2025,9:09:35
24.71,58.2,0.02,2016.5,4/4/2025,9:10:48,99.44,1,265,0.02,1,4/4/2025,9:09:35
24.81,57.97,0.02,2015.5,4/4/2025,9:11:00,99.39,1,266,0.02,1,4/4/2025,9:09:35
24.92,57.74,0.03,2007.5,4/4/2025,9:11:12,99.35,1,267,0.03,1,4/4/2025,9:09:35
25.02,57.54,0.03,2010.5,4/4/2025,9:11:24,99.3,1,268,0.03,1,4/4/2025,9:09:35
25.15,57.28,0.03,2016,4/4/2025,9:11:36,99.25,1,269,0.03,1,4/4/2025,9:09:35
25.27,57.09,0.04,2008,4/4/2025,9:11:48,99.21,1,270,0.04,1,4/4/2025,9:09:35
25.35,56.84,0.04,2011,4/4/2025,9:11:59,99.16,1,271,0.04,1,4/4/2025,9:09:35
25.45,56.5,0.04,2003,4/4/2025,9:12:11,99.11,1,272,0.04,1,4/4/2025,9:09:35
25.54,56.33,0.05,2014.5,4/4/2025,9:12:23,99.07,1,273,0.05,1,4/4/2025,9:09:35
25.65,56.1,0.05,2008,4/4/2025,9:12:35,99.02,1,274,0.05,1,4/4/2025,9:09:35
25.74,55.98,0.05,2009.5,4/4/2025,9:12:46,98.97,1,275,0.05,1,4/4/2025,9:09:35
25.82,55.9,0.06,2010,4/4/2025,9:12:58,98.93,1,276,0.06,1,4/4/2025,9:09:35
