temperatura_sensor,humedad_ambiente,tiempo_desde_calibracion,nivel_gas_metano,fecha,hora,nivel_bateria,ciclo_bateria,ID,GasRow,Co2,LPG,timestamp
23.99,59.5,0.0,2023.0,2025-04-04,09:09:35,99.73,1,259,4046,1213.8,809.2,2025-04-04 09:09:35
24.08,59.3,0.0,2021.0,2025-04-04,09:09:47,99.69,1,260,4042,1212.6,808.4,2025-04-04 09:09:47
24.21,58.95,0.01,2024.0,2025-04-04,09:09:59,99.64,1,261,4048,1214.4,809.6,2025-04-04 09:09:59
24.33,58.72,0.01,2020.5,2025-04-04,09:10:11,99.59,1,262,4041,1212.3,808.2,2025-04-04 09:10:11
24.46,58.45,0.01,2026.5,2025-04-04,09:10:23,99.54,1,263,4053,1215.9,810.6,2025-04-04 09:10:23
24.54,58.22,0.02,2013.5,2025-04-04,09:10:35,99.5,1,264,4027,1208.1,805.4,2025-04-04 09:10:35
24.71,58.2,0.02,2016.5,2025-04-04,09:10:48,99.44,1,265,4033,1209.9,806.6,2025-04-04 09:10:48
24.81,57.97,0.02,2015.5,2025-04-04,09:11:00,99.39,1,266,4031,1209.3,806.2,2025-04-04 09:11:00
24.92,57.74,0.03,2007.5,2025-04-04,09:11:12,99.35,1,267,4015,1204.5,803.0,2025-04-04 09:11:12
25.02,57.54,0.03,2010.5,2025-04-04,09:11:24,99.3,1,268,4021,1206.3,804.2,2025-04-04 09:11:24
25.15,57.28,0.03,2016.0,2025-04-04,09:11:36,99.25,1,269,4032,1209.6,806.4,2025-04-04 09:11:36
25.27,57.09,0.04,2008.0,2025-04-04,09:11:48,99.21,1,270,4016,1204.8,803.2,2025-04-04 09:11:48
25.35,56.84,0.04,2011.0,2025-04-04,09:11:59,99.16,1,271,4022,1206.6,804.4,2025-04-04 09:11:59
25.45,56.5,0.04,2003.0,2025-04-04,09:12:11,99.11,1,272,4006,1201.8,801.2,2025-04-04 09:12:11
25.54,56.33,0.05,2014.5,2025-04-04,09:12:23,99.07,1,273,4029,1208.7,805.8,2025-04-04 09:12:23
25.65,56.1,0.05,2008.0,2025-04-04,09:12:35,99.02,1,274,4016,1204.8,803.2,2025-04-04 09:12:35
25.74,55.98,0.05,2009.5,2025-04-04,09:12:46,98.97,1,275,4019,1205.7,803.8,2025-04-04 09:12:46
25.82,55.9,0.06,2010.0,2025-04-04,09:12:58,98.93,1,276,4020,1206.0,804.0,2025-04-04 09:12:58
26.02,55.97,0.06,2008.5,2025-04-04,09:13:10,98.88,1,277,4017,1205.1,803.4,2025-04-04 09:13:10
