temperatura_sensor,humedad_ambiente,tiempo_desde_calibracion,nivel_gas_metano,fecha,hora,nivel_bateria,ciclo_bateria
24.58,69.76,0.0,0.23,2025-01-18,15:24:00,99.82,1
23.47,74.07,0.07,0.49,2025-01-18,15:28:00,99.6,1
25.2,68.23,0.13,0.14,2025-01-18,15:32:00,99.38,1
27.11,67.79,0.2,0.77,2025-01-18,15:36:00,100.0,1
23.76,64.9,0.27,0.33,2025-01-18,15:40:00,100.0,1
23.92,75.19,0.33,0.79,2025-01-18,15:44:00,99.47,1
27.7,68.46,0.4,0.21,2025-01-18,15:48:00,99.47,1
26.23,66.57,0.47,0.58,2025-01-18,15:52:00,99.66,1
23.91,77.43,0.53,0.47,2025-01-18,15:56:00,98.8,1
26.09,75.56,0.6,0.31,2025-01-18,16:00:00,99.2,1
24.22,65.63,0.67,0.33,2025-01-18,16:04:00,99.47,1
24.37,69.63,0.73,0.47,2025-01-18,16:08:00,99.0,1
25.93,67.26,0.8,0.07,2025-01-18,16:12:00,100.0,1
21.77,72.65,0.87,0.87,2025-01-18,16:16:00,98.7,1
22.29,80.72,0.93,0.26,2025-01-18,16:20:00,99.75,1
24.75,71.9,1.0,0.41,2025-01-18,16:24:00,99.98,1
23.99,72.69,1.07,1.41,2025-01-18,16:28:00,99.39,1
26.79,59.8,1.13,0.88,2025-01-18,16:32:00,99.08,1
24.48,76.46,1.2,0.18,2025-01-18,16:36:00,99.22,1
23.6,68.4,1.27,0.01,2025-01-18,16:40:00,98.83,1
29.49,66.06,1.33,0.73,2025-01-18,16:44:00,97.98,1
26.24,72.03,1.4,0.42,2025-01-18,16:48:00,98.46,1
26.96,76.37,1.47,0.59,2025-01-18,16:52:00,98.89,1
24.1,67.31,1.53,0.86,2025-01-18,16:56:00,98.38,1
25.98,55.93,1.6,0.96,2025-01-18,17:00:00,98.59,1
27.42,69.8,1.67,0.36,2025-01-18,17:04:00,98.99,1
25.01,81.49,1.73,0.47,2025-01-18,17:08:00,98.77,1
28.18,73.92,1.8,0.68,2025-01-18,17:12:00,99.18,1
26.35,71.53,1.87,0.71,2025-01-18,17:16:00,98.75,1
27.08,66.93,1.93,0.59,2025-01-18,17:20:00,98.73,1
26.57,74.18,2.0,1.31,2025-01-18,17:24:00,98.14,1
31.58,57.76,2.07,2.09,2025-01-18,17:28:00,97.78,1
27.96,70.44,2.13,0.86,2025-01-18,17:32:00,98.19,1
25.97,73.57,2.2,0.62,2025-01-18,17:36:00,97.99,1
29.84,70.55,2.27,0.21,2025-01-18,17:40:00,98.22,1
25.85,85.03,2.33,0.3,2025-01-18,17:44:00,97.72,1
28.8,68.76,2.4,0.18,2025-01-18,17:48:00,98.62,1
24.56,70.61,2.47,1.04,2025-01-18,17:52:00,97.78,1
25.92,71.0,2.53,0.12,2025-01-18,17:56:00,97.92,1
29.05,57.57,2.6,0.46,2025-01-18,18:00:00,98.04,1
30.22,61.19,2.67,0.38,2025-01-18,18:04:00,98.56,1
29.17,64.2,2.73,0.37,2025-01-18,18:08:00,98.83,1
28.68,64.36,2.8,0.4,2025-01-18,18:12:00,98.81,1
28.39,68.18,2.87,1.48,2025-01-18,18:16:00,97.21,1
26.11,66.73,2.93,0.08,2025-01-18,18:20:00,97.61,1
27.7,74.06,3.0,1.21,2025-01-18,18:24:00,97.47,1
28.28,67.58,3.07,0.43,2025-01-18,18:28:00,97.88,1
31.39,62.87,3.13,0.92,2025-01-18,18:32:00,97.8,1
30.02,63.33,3.2,0.54,2025-01-18,18:36:00,97.31,1
25.87,71.97,3.27,0.2,2025-01-18,18:40:00,97.22,1
30.1,68.97,3.34,1.29,2025-01-18,18:44:00,97.0,1
28.74,62.55,3.4,1.16,2025-01-18,18:48:00,96.12,1
28.21,64.4,3.47,0.21,2025-01-18,18:52:00,96.75,1
30.84,62.23,3.54,0.78,2025-01-18,18:56:00,97.78,1
31.72,55.69,3.6,0.32,2025-01-18,19:00:00,98.03,1
31.57,58.56,3.67,0.13,2025-01-18,19:04:00,97.92,1
28.07,65.52,3.74,0.27,2025-01-18,19:08:00,97.65,1
29.16,70.63,3.8,1.24,2025-01-18,19:12:00,96.64,1
30.48,65.59,3.87,0.94,2025-01-18,19:16:00,96.51,1
31.8,63.27,3.94,0.41,2025-01-18,19:20:00,96.14,1
28.92,70.88,4.0,1.25,2025-01-18,19:24:00,96.71,1
29.53,65.02,4.07,1.1,2025-01-18,19:28:00,96.99,1
27.71,70.38,4.14,0.27,2025-01-18,19:32:00,96.39,1
27.55,68.15,4.2,1.45,2025-01-18,19:36:00,97.06,1
31.59,63.95,4.27,0.39,2025-01-18,19:40:00,97.12,1
32.69,58.05,4.34,1.25,2025-01-18,19:44:00,96.51,1
29.84,53.04,4.4,0.08,2025-01-18,19:48:00,96.03,1
32.0,61.33,4.47,0.32,2025-01-18,19:52:00,97.34,1
30.72,71.03,4.54,0.47,2025-01-18,19:56:00,96.62,1
28.71,71.57,4.6,0.65,2025-01-18,20:00:00,97.52,1
30.72,68.75,4.67,0.2,2025-01-18,20:04:00,96.54,1
33.07,66.58,4.74,0.28,2025-01-18,20:08:00,96.53,1
29.91,65.57,4.8,1.47,2025-01-18,20:12:00,95.92,1
33.1,61.33,4.87,1.06,2025-01-18,20:16:00,96.14,1
24.72,69.83,4.94,1.19,2025-01-18,20:20:00,95.52,1
31.59,61.04,5.0,0.5,2025-01-18,20:24:00,95.58,1
30.1,67.93,5.07,0.66,2025-01-18,20:28:00,96.57,1
29.3,72.06,5.14,0.8,2025-01-18,20:32:00,96.01,1
30.06,64.21,5.2,1.46,2025-01-18,20:36:00,95.89,1
25.87,68.94,5.27,0.13,2025-01-18,20:40:00,95.68,1
29.38,65.94,5.34,0.35,2025-01-18,20:44:00,95.81,1
30.5,67.26,5.4,0.62,2025-01-18,20:48:00,96.51,1
32.7,53.73,5.47,0.55,2025-01-18,20:52:00,95.97,1
28.67,55.52,5.54,0.28,2025-01-18,20:56:00,95.26,1
28.04,65.18,5.6,0.75,2025-01-18,21:00:00,96.31,1
28.61,60.98,5.67,0.36,2025-01-18,21:04:00,96.61,1
31.39,60.37,5.74,0.53,2025-01-18,21:08:00,95.95,1
30.17,64.01,5.8,0.73,2025-01-18,21:12:00,96.09,1
28.4,65.14,5.87,0.37,2025-01-18,21:16:00,96.21,1
30.42,71.63,5.94,0.9,2025-01-18,21:20:00,94.72,1
29.53,67.34,6.0,1.01,2025-01-18,21:24:00,96.43,1
31.21,64.69,6.07,0.29,2025-01-18,21:28:00,96.0,1
27.8,71.41,6.14,0.36,2025-01-18,21:32:00,95.64,1
28.48,61.59,6.2,0.23,2025-01-18,21:36:00,95.28,1
28.28,72.78,6.27,0.52,2025-01-18,21:40:00,94.63,1
26.06,70.53,6.34,0.65,2025-01-18,21:44:00,95.08,1
29.5,69.1,6.4,0.4,2025-01-18,21:48:00,95.42,1
29.35,60.61,6.47,0.64,2025-01-18,21:52:00,94.6,1
28.76,59.1,6.54,0.35,2025-01-18,21:56:00,95.06,1
28.19,71.8,6.6,0.36,2025-01-18,22:00:00,94.46,1
25.74,73.27,6.67,0.68,2025-01-18,22:04:00,94.81,1
27.64,64.03,6.74,0.38,2025-01-18,22:08:00,94.27,1
27.7,64.1,6.8,0.5,2025-01-18,22:12:00,94.17,1
