temperatura_sensor,humedad_ambiente,tiempo_desde_calibracion,nivel_gas_metano,fecha,hora,nivel_bateria,ciclo_bateria,nivel_gas_metano_porcentaje
24.58,69.76,0.0,2345.91,2025-02-20,15:24:00,99.82,1,0.234591
23.47,74.07,0.07,4882.62,2025-02-20,15:28:00,99.6,1,0.488262
25.2,68.23,0.13,1359.7,2025-02-20,15:32:00,99.38,1,0.13597
27.11,67.79,0.2,7671.55,2025-02-20,15:36:00,100.0,1,0.767155
23.76,64.9,0.27,3347.32,2025-02-20,15:40:00,100.0,1,0.33473200000000003
23.92,75.19,0.33,7888.34,2025-02-20,15:44:00,99.47,1,0.788834
27.7,68.46,0.4,2088.11,2025-02-20,15:48:00,99.47,1,0.20881100000000002
26.23,66.57,0.47,5827.14,2025-02-20,15:52:00,99.66,1,0.5827140000000001
23.91,77.43,0.53,4719.99,2025-02-20,15:56:00,98.8,1,0.471999
26.09,75.56,0.6,3098.24,2025-02-20,16:00:00,99.2,1,0.309824
24.22,65.63,0.67,3276.06,2025-02-20,16:04:00,99.47,1,0.327606
24.37,69.63,0.73,4694.04,2025-02-20,16:08:00,99.0,1,0.469404
25.93,67.26,0.8,740.61,2025-02-20,16:12:00,100.0,1,0.074061
21.77,72.65,0.87,8722.77,2025-02-20,16:16:00,98.7,1,0.8722770000000001
22.29,80.72,0.93,2578.79,2025-02-20,16:20:00,99.75,1,0.25787899999999997
24.75,71.9,1.0,4097.3,2025-02-20,16:24:00,99.98,1,0.40973000000000004
23.99,72.69,1.07,14138.02,2025-02-20,16:28:00,99.39,1,1.413802
26.79,59.8,1.13,8836.98,2025-02-20,16:32:00,99.08,1,0.883698
24.48,76.46,1.2,1780.49,2025-02-20,16:36:00,99.22,1,0.178049
23.6,68.4,1.27,142.64,2025-02-20,16:40:00,98.83,1,0.014263999999999999
29.49,66.06,1.33,7331.27,2025-02-20,16:44:00,97.98,1,0.7331270000000001
26.24,72.03,1.4,4242.74,2025-02-20,16:48:00,98.46,1,0.424274
26.96,76.37,1.47,5890.72,2025-02-20,16:52:00,98.89,1,0.589072
24.1,67.31,1.53,8649.0,2025-02-20,16:56:00,98.38,1,0.8649
25.98,55.93,1.6,9610.54,2025-02-20,17:00:00,98.59,1,0.9610540000000001
27.42,69.8,1.67,3621.01,2025-02-20,17:04:00,98.99,1,0.362101
25.01,81.49,1.73,4671.7,2025-02-20,17:08:00,98.77,1,0.46717
28.18,73.92,1.8,6750.73,2025-02-20,17:12:00,99.18,1,0.6750729999999999
26.35,71.53,1.87,7072.9,2025-02-20,17:16:00,98.75,1,0.70729
27.08,66.93,1.93,5865.76,2025-02-20,17:20:00,98.73,1,0.586576
26.57,74.18,2.0,13145.18,2025-02-20,17:24:00,98.14,1,1.314518
31.58,57.76,2.07,20917.35,2025-02-20,17:28:00,97.78,1,2.091735
27.96,70.44,2.13,8583.04,2025-02-20,17:32:00,98.19,1,0.8583040000000001
25.97,73.57,2.2,6244.01,2025-02-20,17:36:00,97.99,1,0.624401
29.84,70.55,2.27,2143.74,2025-02-20,17:40:00,98.22,1,0.21437399999999998
25.85,85.03,2.33,3015.13,2025-02-20,17:44:00,97.72,1,0.30151300000000003
28.8,68.76,2.4,1753.69,2025-02-20,17:48:00,98.62,1,0.175369
24.56,70.61,2.47,10386.27,2025-02-20,17:52:00,97.78,1,1.038627
25.92,71.0,2.53,1191.31,2025-02-20,17:56:00,97.92,1,0.119131
29.05,57.57,2.6,4557.07,2025-02-20,18:00:00,98.04,1,0.455707
30.22,61.19,2.67,3821.44,2025-02-20,18:04:00,98.56,1,0.382144
29.17,64.2,2.73,3744.26,2025-02-20,18:08:00,98.83,1,0.37442600000000004
28.68,64.36,2.8,4012.34,2025-02-20,18:12:00,98.81,1,0.40123400000000004
28.39,68.18,2.87,14834.11,2025-02-20,18:16:00,97.21,1,1.483411
26.11,66.73,2.93,759.43,2025-02-20,18:20:00,97.61,1,0.075943
27.7,74.06,3.0,12103.85,2025-02-20,18:24:00,97.47,1,1.210385
28.28,67.58,3.07,4295.62,2025-02-20,18:28:00,97.88,1,0.429562
31.39,62.87,3.13,9240.27,2025-02-20,18:32:00,97.8,1,0.924027
30.02,63.33,3.2,5435.54,2025-02-20,18:36:00,97.31,1,0.543554
25.87,71.97,3.27,1960.47,2025-02-20,18:40:00,97.22,1,0.196047
30.1,68.97,3.34,12891.18,2025-02-20,18:44:00,97.0,1,1.289118
28.74,62.55,3.4,11596.37,2025-02-20,18:48:00,96.12,1,1.159637
28.21,64.4,3.47,2103.67,2025-02-20,18:52:00,96.75,1,0.210367
30.84,62.23,3.54,7811.68,2025-02-20,18:56:00,97.78,1,0.7811680000000001
31.72,55.69,3.6,3180.72,2025-02-20,19:00:00,98.03,1,0.31807199999999997
31.57,58.56,3.67,1287.3,2025-02-20,19:04:00,97.92,1,0.12872999999999998
28.07,65.52,3.74,2689.57,2025-02-20,19:08:00,97.65,1,0.268957
29.16,70.63,3.8,12412.91,2025-02-20,19:12:00,96.64,1,1.241291
30.48,65.59,3.87,9422.51,2025-02-20,19:16:00,96.51,1,0.9422510000000001
31.8,63.27,3.94,4092.36,2025-02-20,19:20:00,96.14,1,0.409236
28.92,70.88,4.0,12459.29,2025-02-20,19:24:00,96.71,1,1.245929
29.53,65.02,4.07,11034.06,2025-02-20,19:28:00,96.99,1,1.1034059999999999
27.71,70.38,4.14,2708.21,2025-02-20,19:32:00,96.39,1,0.270821
27.55,68.15,4.2,14497.38,2025-02-20,19:36:00,97.06,1,1.449738
31.59,63.95,4.27,3851.15,2025-02-20,19:40:00,97.12,1,0.385115
32.69,58.05,4.34,12515.69,2025-02-20,19:44:00,96.51,1,1.2515690000000002
29.84,53.04,4.4,836.18,2025-02-20,19:48:00,96.03,1,0.083618
32.0,61.33,4.47,3164.1,2025-02-20,19:52:00,97.34,1,0.31640999999999997
30.72,71.03,4.54,4656.91,2025-02-20,19:56:00,96.62,1,0.46569099999999997
28.71,71.57,4.6,6461.38,2025-02-20,20:00:00,97.52,1,0.646138
30.72,68.75,4.67,2019.16,2025-02-20,20:04:00,96.54,1,0.201916
33.07,66.58,4.74,2836.49,2025-02-20,20:08:00,96.53,1,0.283649
29.91,65.57,4.8,14728.58,2025-02-20,20:12:00,95.92,1,1.472858
33.1,61.33,4.87,10579.32,2025-02-20,20:16:00,96.14,1,1.0579319999999999
24.72,69.83,4.94,11905.91,2025-02-20,20:20:00,95.52,1,1.190591
31.59,61.04,5.0,4974.13,2025-02-20,20:24:00,95.58,1,0.497413
30.1,67.93,5.07,6616.54,2025-02-20,20:28:00,96.57,1,0.661654
29.3,72.06,5.14,7992.95,2025-02-20,20:32:00,96.01,1,0.799295
